"Water","estimate1","estimate2","statistic","p.value","conf.low","conf.high","method"
"Control",1.417,2.551,-4.50886810844868,0.000944408956659464,-1.68924351355888,-0.578756486441123,"Welch Two Sample t-test"
"Moderate",1.646,2.384,-2.18041004672286,0.0528407041031726,-1.48685701645721,0.0108570164572096,"Welch Two Sample t-test"
"Severe",1.297,1.72,-2.35630728080448,0.0303041372906188,-0.800839643390909,-0.0451603566090912,"Welch Two Sample t-test"
