"Water","Inoculation","n","mean","sd","se","median","q25","q75","iqr","min","max"
"Control","Strl",10,7.754698,2.13198371554548,0.674192447551225,8.248115,7.228215,8.94401,1.715795,2.34734,9.6636
"Control","Inoc",10,9.254148,2.66183013178611,0.841744596091026,9.60092,8.4059775,11.25861,2.8526325,4.43043,12.64813
"Moderate","Strl",10,8.359709,1.92839786915028,0.609812950153023,8.0263,7.080805,8.93855,1.857745,6.31343,12.34691
"Moderate","Inoc",10,9.171805,2.2073352030207,0.69802068010156,9.84031,7.4114975,10.5424275,3.13093,5.30238,11.91213
"Severe","Strl",10,4.435722,1.33678434667177,0.422728327594292,4.979135,4.4577875,5.235475,0.7776875,1.49939,5.60344
"Severe","Inoc",10,2.896828,1.70102917618064,0.537912656313065,2.705265,1.4980875,4.4465625,2.948475,0.56621,5.27738
