"Inoculation","n","mean","sd","se","median","q25","q75","iqr","min","max"
"Strl",30,6.850043,2.48945339221027,0.454509926257108,7.07875,5.205265,8.60114,3.395875,1.49939,12.34691
"Inoc",30,7.10759366666667,3.71229379692848,0.677769017554744,7.635,4.51767,10.1759225,5.6582525,0.56621,12.64813
