"Polyculture","n","mean","sd","se","median","q25","q75","iqr","min","max"
"Mono",30,7.21967533333333,3.60953760325836,0.659008389155912,7.997305,5.0562775,10.1759225,5.119645,0.56621,12.34691
"Inter",30,6.73796133333333,2.6199287258346,0.478331354065127,6.876705,4.9656825,8.3579975,3.392315,1.49939,12.64813
