"Inoculation","Polyculture","n","mean","sd","se","median","q25","q75","iqr","min","max"
"Strl","Mono",15,7.03156933333333,2.79952129693751,0.722833290692797,7.14985,5.26714,8.84871,3.58157,2.34734,12.34691
"Strl","Inter",15,6.66851666666667,2.22024677503479,0.573265252278698,7.00765,5.0986,8.04693,2.94833,1.49939,9.6636
"Inoc","Mono",15,7.40778133333333,4.36749438355656,1.12768220081127,9.98716,2.629965,10.655695,8.02573,0.56621,11.91213
"Inoc","Inter",15,6.807406,3.04606481598518,0.786490553585265,5.36718,4.90113,8.754185,3.853055,2.26941,12.64813
