Name,Pot,Inoculation,Polyculture,Replicate,Water,Water_gal,Num_wheat_pot,Num_fava,hyphal_colonization,arb_vesc_colonization,Pot_NPP_g,Pot_NPP_g_pp,W_NPP,W_NPP_pp,W_BNPP_g,W_BNPP_g_pp,W_ANPP_g,W_ANPP_g_pp,W_Berries_g,W_Berries_g_pp,W_pcent_BNPP,W_pcent_ANPP,W_pcent_vegetative,W_pcent_berries,Pot_pcent_wheat,Fava_g,Pot_pcent_fava
11_Inoc_inter_s_1_BNPP,11,Inoc,Inter,1,Severe,16,6,1.00,0.89,0.18,28.23738,4.0339,23.96738,3.99456,5.6100,0.9350,13.0800,2.1800,5.2774,0.8796,0.2340681,0.5457418,0.7798099,0.2201901,0.8487820,4.2700,0.1512180
12_Inoc_inter_s_2_BNPP,12,Inoc,Inter,2,Severe,16,6,1.00,0.89,0.33,21.21939,3.0313,17.84939,2.97490,3.4100,0.5683,9.6600,1.6100,4.7794,0.7966,0.1910429,0.5411950,0.7322379,0.2677621,0.8411830,3.3700,0.1588170
13_Inoc_inter_s_3_BNPP,13,Inoc,Inter,3,Severe,16,6,1.00,0.98,0.34,19.99941,2.8571,16.13941,2.68990,3.7100,0.6183,10.1600,1.6933,2.2694,0.3782,0.2298721,0.6295150,0.8593871,0.1406129,0.8069943,3.8600,0.1930057
14_Inoc_inter_s_4_BNPP,14,Inoc,Inter,4,Severe,16,6,1.00,0.99,0.46,24.78112,3.5402,21.73112,3.62185,6.2700,1.0450,12.3200,2.0533,3.1411,0.5235,0.2885263,0.5669289,0.8554552,0.1445448,0.8769224,3.0500,0.1230776
15_Inoc_inter_s_5_BNPP,15,Inoc,Inter,5,Severe,16,6,1.00,0.98,0.49,20.73287,2.9618,16.84287,2.80715,3.2100,0.5350,8.6100,1.4350,5.0229,0.8371,0.1905851,0.5111955,0.7017806,0.2982194,0.8123752,3.8900,0.1876248
16_Inoc_mono_c_1_BNPP,16,Inoc,Mono,1,Control,48,12,0.00,0.88,0.31,33.35786,2.7798,33.35786,2.77982,5.2300,0.4358,19.0600,1.5883,9.0679,0.7557,0.1567846,0.5713796,0.7281642,0.2718358,1.0000000,0.0000,0.0000000
17_Inoc_mono_c_2_BNPP,17,Inoc,Mono,2,Control,48,12,0.00,0.99,0.52,34.75684,2.8964,34.75684,2.89640,5.5000,0.4583,18.6000,1.5500,10.6568,0.8881,0.1582422,0.5351465,0.6933887,0.3066113,1.0000000,0.0000,0.0000000
18_Inoc_mono_c_3_BNPP,18,Inoc,Mono,3,Control,48,12,0.00,1.00,0.52,37.88920,3.1574,37.88920,3.15743,6.5200,0.5433,19.9100,1.6592,11.4592,0.9549,0.1720807,0.5254796,0.6975603,0.3024397,1.0000000,0.0000,0.0000000
19_Inoc_mono_c_4_BNPP,19,Inoc,Mono,4,Control,48,12,0.00,1.00,0.35,31.99551,2.6663,31.99551,2.66629,3.6900,0.3075,18.2200,1.5183,10.0855,0.8405,0.1153287,0.5694549,0.6847836,0.3152164,1.0000000,0.0000,0.0000000
20_Inoc_mono_c_5_BNPP,20,Inoc,Mono,5,Control,48,12,0.00,1.00,0.36,36.60465,3.0504,36.60465,3.05039,6.3800,0.5317,18.7000,1.5583,11.5247,0.9604,0.1742948,0.5108641,0.6851589,0.3148411,1.0000000,0.0000,0.0000000
21_Inoc_mono_m_1_BNPP,21,Inoc,Mono,1,Moderate,32,12,0.00,1.00,0.44,32.33716,2.6948,32.33716,2.69476,6.1400,0.5117,16.2100,1.3508,9.9872,0.8323,0.1898744,0.5012809,0.6911553,0.3088447,1.0000000,0.0000,0.0000000
22_Inoc_mono_m_2_BNPP,22,Inoc,Mono,2,Moderate,32,12,0.00,1.00,0.76,35.70455,2.9754,35.70455,2.97538,7.0100,0.5842,18.0400,1.5033,10.6546,0.8879,0.1963335,0.5052577,0.7015913,0.2984087,1.0000000,0.0000,0.0000000
23_Inoc_mono_m_3_BNPP,23,Inoc,Mono,3,Moderate,32,12,0.00,0.99,0.61,43.77606,3.6480,43.77606,3.64801,8.9600,0.7467,24.6100,2.0508,10.2061,0.8505,0.2046781,0.5621794,0.7668575,0.2331425,1.0000000,0.0000,0.0000000
24_Inoc_mono_m_4_BNPP,24,Inoc,Mono,4,Moderate,32,12,0.00,1.00,0.57,29.81465,2.4846,29.81465,2.48455,4.6900,0.3908,18.0400,1.5033,7.0847,0.5904,0.1573052,0.6050717,0.7623769,0.2376231,1.0000000,0.0000,0.0000000
25_Inoc_mono_m_5_BNPP,25,Inoc,Mono,5,Moderate,32,12,0.00,1.00,0.60,43.09213,3.5910,43.09213,3.59101,7.5300,0.6275,23.6500,1.9708,11.9121,0.9927,0.1747419,0.5488241,0.7235660,0.2764340,1.0000000,0.0000,0.0000000
26_Inoc_mono_s_1_BNPP,26,Inoc,Mono,1,Severe,16,12,0.00,0.99,0.69,33.52847,2.7940,33.52847,2.79404,8.9500,0.7458,23.3200,1.9433,1.2585,0.1049,0.2669373,0.6955283,0.9624656,0.0375344,1.0000000,0.0000,0.0000000
27_Inoc_mono_s_2_BNPP,27,Inoc,Mono,2,Severe,16,12,0.00,0.99,0.53,31.24350,2.6036,31.24350,2.60363,6.6500,0.5542,23.2000,1.9333,1.3935,0.1161,0.2128443,0.7425545,0.9553987,0.0446013,1.0000000,0.0000,0.0000000
28_Inoc_mono_s_3_BNPP,28,Inoc,Mono,3,Severe,16,12,0.00,0.66,0.32,23.10621,1.9255,23.10621,1.92552,5.2500,0.4375,17.2900,1.4408,0.5662,0.0472,0.2272116,0.7482837,0.9754953,0.0245047,1.0000000,0.0000,0.0000000
