"Water","estimate1","estimate2","statistic","p.value","conf.low","conf.high","method"
"Control",0.463,0.806666666666667,-3.23978444601003,0.00785160097756296,-0.5770659105258,-0.110267422807533,"Welch Two Sample t-test"
"Moderate",0.566,0.86,-2.48195795606669,0.0300375238991954,-0.554016269676196,-0.0339837303238039,"Welch Two Sample t-test"
"Severe",0.487,0.702,-2.03078354400248,0.0573244402652855,-0.437434582444488,0.00743458244448783,"Welch Two Sample t-test"
