"Polyculture","n","mean","sd","se","median","q25","q75","iqr","min","max"
"Mono",30,1.45333333333333,0.35415108146912,0.0646588453618289,1.49,1.3075,1.5875,0.28,0.82,2.05
"Inter",30,2.21833333333333,0.825453201887149,0.150706446279486,2.08,1.66,2.4075,0.7475,1.25,5.08
