"Water","estimate1","estimate2","statistic","p.value","conf.low","conf.high","method"
"Control",1.89,2.078,-0.516022425621206,0.61213283686892,-0.953536267160006,0.577536267160006,"Welch Two Sample t-test"
"Moderate",1.864,2.166,-0.807844787398326,0.434223738684976,-1.11256252874268,0.508562528742677,"Welch Two Sample t-test"
"Severe",1.315,1.702,-2.1035473875047,0.0527688307834851,-0.779260928974009,0.00526092897400869,"Welch Two Sample t-test"
