"Water","estimate1","estimate2","statistic","p.value","conf.low","conf.high","method"
"Control",1.000994,1.102409,-0.492077575404087,0.628680058567075,-0.534764000856137,0.331934000856137,"Welch Two Sample t-test"
"Moderate",1.003538,1.113264,-0.688255034442356,0.50130875819666,-0.448143590994384,0.228691590994384,"Welch Two Sample t-test"
"Severe",0.541542,0.412155,1.01353389050616,0.325492682480345,-0.140654318023331,0.399428318023331,"Welch Two Sample t-test"
