Name,Pot,Inoculation,Polyculture,Replicate,Water,Water_gal,Num_wheat_pot,BNPP_g,BNPP_g_pp,ANPP_g,ANPP_g_pp,Berries_g,Berries_g_pp,NPP_g,NPP_g_pp,percent_BNPP,percent_ANPP,percent_berries
37_Strl_inter_m_2_BNPP,37,Strl,Inter,2,Moderate,32,6,3.38,0.56,12.52,2.09,6.36912,1.06152,22.26912,3.71,15.18,56.22,28.60
38_Strl_inter_m_3_BNPP,38,Strl,Inter,3,Moderate,32,6,4.23,0.71,14.43,2.41,6.97937,1.16323,25.63937,4.27,16.50,56.28,27.22
39_Strl_inter_m_4_BNPP,39,Strl,Inter,4,Moderate,32,6,5.32,0.89,11.14,1.86,7.83799,1.30633,24.29799,4.05,21.89,45.85,32.26
40_Strl_inter_m_5_BNPP,40,Strl,Inter,5,Moderate,32,6,2.66,0.44,8.40,1.40,7.38511,1.23085,18.44511,3.07,14.42,45.54,40.04
41_Strl_inter_s_1_BNPP,41,Strl,Inter,1,Severe,16,6,6.17,1.03,13.53,2.26,4.48142,0.74690,24.18142,4.03,25.52,55.95,18.53
42_Strl_inter_s_2_BNPP,42,Strl,Inter,2,Severe,16,6,2.14,0.36,7.47,1.25,4.94662,0.82444,14.55662,2.43,14.70,51.32,33.98
43_Strl_inter_s_3_BNPP,43,Strl,Inter,3,Severe,16,6,4.91,0.82,11.62,1.94,1.49939,0.24990,18.02939,3.00,27.23,64.45,8.32
44_Strl_inter_s_4_BNPP,44,Strl,Inter,4,Severe,16,6,3.33,0.56,9.07,1.51,4.44991,0.74165,16.84991,2.81,19.76,53.83,26.41
45_Strl_inter_s_5_BNPP,45,Strl,Inter,5,Severe,16,6,3.17,0.53,7.60,1.27,5.25058,0.87510,16.02058,2.67,19.79,47.44,32.77
46_Strl_mono_c_1_BNPP,46,Strl,Mono,1,Control,48,12,8.45,0.70,17.73,1.48,7.78000,0.64833,33.96,2.83,24.88,52.21,22.91
