"Water","estimate1","estimate2","statistic","p.value","conf.low","conf.high","method"
"Control",8.776867,8.231979,0.483227828243298,0.634869072824392,-1.82734216946839,2.91711816946839,"Welch Two Sample t-test"
"Moderate",9.661418,7.870096,2.11480472431988,0.0487594487970879,0.0108624475134851,3.57178155248651,"Welch Two Sample t-test"
"Severe",3.220741,4.111809,-1.19554820896885,0.249343901534376,-2.47146754684343,0.689331546843431,"Welch Two Sample t-test"
