"Water","estimate1","estimate2","statistic","p.value","conf.low","conf.high","method"
"Control",7.754698,9.254148,-1.39036609825347,0.182168143897436,-3.7729745557473,0.774074555747304,"Welch Two Sample t-test"
"Moderate",8.359709,9.171805,-0.876161817182547,0.392690233331231,-2.76191642984615,1.13772442984615,"Welch Two Sample t-test"
"Severe",4.435722,2.896828,2.24938048339476,0.0379902900251433,0.0957867930039228,2.98200120699608,"Welch Two Sample t-test"
