"Inoculation","Polyculture","n","mean","sd","se","median","q25","q75","iqr","min","max"
"Strl","Mono",15,0.585962666666667,0.233294280882282,0.0602363243081675,0.59582,0.438925,0.73739,0.298465,0.19561,1.02891
"Strl","Inter",15,1.11142,0.370041095150255,0.0955441999286194,1.16794,0.84977,1.341155,0.491385,0.2499,1.6106
"Inoc","Mono",15,0.617316,0.363958285459042,0.0939736252198051,0.83226,0.219165,0.887975,0.66881,0.04718,0.99268
"Inoc","Inter",15,1.13456933333333,0.507676453806481,0.131081496723609,0.89453,0.81686,1.45903,0.64217,0.37824,2.10802
