"Water","Inoculation","n","mean","sd","se","median","q25","q75","iqr","min","max"
"Control","Strl",10,1.000994,0.484961086026498,0.153358160839259,0.958185,0.667835,1.4150325,0.7471975,0.19561,1.6106
"Control","Inoc",10,1.102409,0.435392368469075,0.137683156021756,0.92473,0.8523625,1.26327,0.4109075,0.73841,2.10802
"Moderate","Strl",10,1.003538,0.281009690176928,0.0888630665537338,1.045215,0.7963925,1.213945,0.4175525,0.52612,1.37598
"Moderate","Inoc",10,1.113264,0.418570448449906,0.13236359783398,0.94028,0.858815,1.331255,0.47244,0.59039,1.95193
"Severe","Strl",10,0.541542,0.237406607686756,0.0750745611864187,0.456145,0.4213575,0.7455875,0.32423,0.21499,0.8751
"Severe","Inoc",10,0.412155,0.32650727925355,0.103250667506586,0.33279,0.124845,0.7283075,0.6034625,0.04718,0.87956
