"Polyculture","n","mean","sd","se","median","q25","q75","iqr","min","max"
"Mono",30,0.601639333333333,0.300795422916999,0.0549174794419822,0.66644,0.4213575,0.8479975,0.42664,0.04718,1.02891
"Inter",30,1.12299466666667,0.4366542189606,0.0797217885181736,1.14612,0.8276175,1.3929975,0.56538,0.2499,2.10802
