"Water","estimate1","estimate2","statistic","p.value","conf.low","conf.high","method"
"Control",0.685,0.56,1.00010668373637,0.333384903057984,-0.141797502452877,0.391797502452876,"Welch Two Sample t-test"
"Moderate",0.685,0.741,-0.409958566124384,0.686675247858384,-0.342988256466159,0.230988256466159,"Welch Two Sample t-test"
"Severe",0.503,0.686,-1.6764237993698,0.111437659903297,-0.412819111192939,0.0468191111929386,"Welch Two Sample t-test"
