"Polyculture","n","mean","sd","se","median","q25","q75","iqr","min","max"
"Mono",30,0.505333333333333,0.171900800048956,0.0313846486133329,0.5,0.44,0.58,0.14,0.2,0.95
"Inter",29,0.788965517241379,0.295481989148797,0.0548696279002139,0.69,0.56,0.95,0.39,0.36,1.45
