"Inoculation","n","mean","sd","se","median","q25","q75","iqr","min","max"
"Strl",30,0.624333333333333,0.306174204788975,0.0558995061630425,0.55,0.4425,0.7625,0.32,0.2,1.45
"Inoc",29,0.665862068965517,0.249564152092908,0.0463428996197618,0.58,0.5,0.75,0.25,0.31,1.35
