"term","df","sumsq","meansq","statistic","p.value"
"Inoculation",1,0.0111395275266667,0.0111395275266667,0.173215503172508,0.679124845403533
"Polyculture",1,4.07717075392667,4.07717075392667,63.3984863335551,2.51067757458249e-10
"Water",2,4.45802776777,2.229013883885,34.6603355080697,4.8395031698417e-10
"Inoculation:Polyculture",1,0.000252396059999958,0.000252396059999958,0.00392466470655898,0.950307637566163
"Inoculation:Water",2,0.184189437823334,0.092094718911667,1.43203857054326,0.248840826737055
"Polyculture:Water",2,0.126727206203333,0.0633636031016667,0.985280423052421,0.380757376801986
"Inoculation:Polyculture:Water",2,0.285971999070001,0.142985999535001,2.22337902543792,0.11927300164686
"Residuals",48,3.08689067368,0.0643102223683333,NA,NA
