"Water","Inoculation","n","mean","sd","se","median","q25","q75","iqr","min","max"
"Control","Strl",10,0.685,0.33639427924849,0.106377211427594,0.615,0.4975,0.865,0.3675,0.2,1.4
"Control","Inoc",9,0.56,0.196850196850295,0.0656167322834318,0.53,0.44,0.65,0.21,0.31,0.99
"Moderate","Strl",10,0.685,0.307580161186569,0.0972653872431275,0.57,0.4875,0.7625,0.275,0.44,1.45
"Moderate","Inoc",10,0.741,0.303294869356173,0.0959102589808712,0.66,0.5275,0.8325,0.305,0.39,1.35
"Severe","Strl",10,0.503,0.264114873997408,0.0835204565760189,0.445,0.335,0.5975,0.2625,0.21,1.03
"Severe","Inoc",10,0.686,0.222271105734516,0.0702882952165184,0.595,0.5425,0.8925,0.35,0.44,1.05
