"Inoculation","n","mean","sd","se","median","q25","q75","iqr","min","max"
"Strl",30,1.68966666666667,0.647624216993761,0.118239464144701,1.505,1.2725,2.04,0.7675,0.82,3.48
"Inoc",30,1.982,0.803665739402679,0.146728618054972,1.675,1.505,2.085,0.58,1.3,5.08
