"Inoculation","Polyculture","n","mean","sd","se","median","q25","q75","iqr","min","max"
"Strl","Mono",15,1.28666666666667,0.378732221019146,0.0977882389786199,1.33,0.92,1.49,0.57,0.82,1.98
"Strl","Inter",15,2.09266666666667,0.614276190402361,0.158605430360005,2.06,1.685,2.41,0.725,1.25,3.48
"Inoc","Mono",15,1.62,0.238417401090728,0.0615591082580296,1.55,1.47,1.795,0.325,1.3,2.05
"Inoc","Inter",15,2.344,1.00011999280086,0.258229871755122,2.09,1.67,2.315,0.645,1.4,5.08
